,User_id,text,sec_user,movies_name,relationship,attachment
26202, u849 ," Well, my dear, I think you'll find it's all a question of what you want to believe in.... I have slightly more experience of these matters than you..."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u839 ,m54,,
26203, u839 ," It's sinking! Hy-Brasil is sinking!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u839 ,m54,,
26204, u839 ," But, Father, it IS!"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u849 ,m54,,
26205, u849 ," It's all right! It isn't happening!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u849 ,m54,,
26206, u849 ," But one day I'll catch you... Like I caught her...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u839 ,m54,,
26207, u839 ," It's your fantasy...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u849 ,m54,,
26208, u849 ," She did, I tell you! She could blind me as easily as the night the day."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u839 ,m54,,
26209, u839 ," There is no magic, Father... My mother had no magic..."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u849 ,m54,,
26210, u849 ," I don't know how you do it, Aud... I sometimes think you've got some of your mother's magic..."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u839 ,m54,,
26211, u839 ," It's all in your own mind, Father... It's YOU who imagine that I'm always up here with some man or other...."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u839 ,m54,,
26212, u839 ," You're losing your temper!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u849 ,m54,,
26213, u849 ," Ah! So you admit there IS someone!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u839 ,m54,,
26214, u839 ," There's nobody here, Father. Look for yourself."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u849 ,m54,,
26215, u849 ," Well... where is he?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u839 ,m54,,
26216, u839 ," There IS no one.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u849 ,m54,,
26217, u849 ," Who? Who? Whoever you've got in here of course!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u839 ,m54,,
26218, u839 ," Who, Father?"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u849 ,m54,,
26219, u849 ," Right! Where is he?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u849 ,m54,,
26220, u849 ," Open up! I know you're in there!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u839 ,m54,,
